,logFC,AveExpr,t,P.Value,adj.P.Val,B
WNT16,0.059746686553561,6.94797346482146,10.1604330176455,3.36811218209229e-24,2.12056605349647e-23,42.7992700782774
F12,-0.0596482802947746,7.20875635157124,-5.87131343686561,4.38521349575971e-09,1.33434308063917e-08,8.53384191662844
CCSER2,-0.0596370427136117,7.22446605095983,-5.78408781314436,7.38873199143006e-09,2.21696246202259e-08,8.02641453629401
NR4A2,0.0595955558243697,7.18735369684711,5.68461855257899,1.32754293054124e-08,3.92137623978056e-08,7.45698961449209
TMED10,0.0595764816951394,7.7056250680234,4.5029317252341,6.73640429200227e-06,1.60079346387676e-05,1.44630460038671
HSP90B1,0.0595056221677654,8.3329730954074,3.77029518959785,0.00016347993605098,0.000337288215221964,-1.58127014002457
GRAMD3,0.0594673680111644,7.00125903578081,8.48260295396093,2.33802287232569e-17,1.12902583214771e-16,27.2256597983101
C7orf73,-0.0594515497303854,7.54794298023133,-4.75430120547936,2.00384636821492e-06,4.98341177572218e-06,2.60839928138001
DHRS4,-0.0594136347757357,7.06508389028958,-7.34167283657391,2.18219306375453e-13,8.60369533551024e-13,18.2261470050401
SWAP70,0.0594015183278758,7.11054908520345,6.65704543320029,2.85919818789398e-11,9.97172356144685e-11,13.4459164474916
RPS16,-0.0594014635824829,11.7423521651411,-9.23692051009673,2.7587436585005e-20,1.51813076560547e-19,33.8835309098498
NCAPD3,-0.0593297143568334,6.95007365819783,-10.3665027865969,4.02257079682535e-25,2.60099427722727e-24,44.9041523687596
ALKBH7,-0.0592441091785521,7.53131599980704,-4.7182078410588,2.39382464197224e-06,5.91458545471629e-06,2.43766499923663
CLTC,-0.0592095049712442,7.1878746056355,-6.08575582886585,1.17846255461885e-09,3.7134205059286e-09,9.81352648735817
THSD4,-0.0591848846919694,7.15334805263728,-5.93322003502113,3.01464038853001e-09,9.29106994863443e-09,8.89857172002808
CARD19,0.0591451158599823,7.10516553652301,6.76190028706034,1.39581417830445e-11,4.95625177205743e-11,14.1478454578695
CD58,-0.0591321993992371,7.05134198180226,-7.61295995352668,2.78576822114642e-14,1.15689000115175e-13,20.2490629264065
TFAP2B,0.0591195507023681,7.00522839903492,8.16069677335988,3.50673758269808e-16,1.61270022828775e-15,24.555847261232
NDUFS3,-0.0590487888863751,7.43796677181084,-4.99685808574066,5.8715407944956e-07,1.52593982223507e-06,3.78945852429289
CDK6,0.059010284816541,7.08367712978003,6.84410614246486,7.89631609025304e-12,2.84601894312019e-11,14.7057950691914
YIPF3,0.0589778117218123,7.20121632059823,5.96059366452587,2.55125506698052e-09,7.88924689770255e-09,9.06106247798244
CEP152,-0.058977074923408,6.93332193349057,-11.056932814444,2.41016242258863e-28,1.69025056664404e-27,52.2593445753881
CFAP36,0.0589297294287809,7.06179753217358,7.24340842356633,4.51854429228609e-13,1.74533496976833e-12,17.5114339714069
ETF1,-0.0588834427055447,7.67090610060783,-4.44919794399247,8.66111315579634e-06,2.04240545825599e-05,1.20606254387476
BCL11B,0.0588800247032748,7.33337984161753,5.11003660221173,3.24769864648753e-07,8.63116294623444e-07,4.36060725576718
SRSF2,-0.0587852596596701,8.66721847700994,-4.04979501429372,5.14368600344333e-05,0.0001122858666383,-0.489414592021157
ELF2,0.0587756533829331,7.27438452139824,5.44360298000398,5.2767607066419e-08,1.48993601437321e-07,6.11815183174877
AK1,-0.0587610414141899,6.96938499542701,-9.47440488862384,2.94341199336746e-21,1.6753610870699e-20,36.0960640689556
COA3,-0.0587301469936672,7.39198174213379,-5.10533436342853,3.3294116130798e-07,8.84105769617001e-07,4.33662358947358
TOMM22,-0.0587228147435228,7.73341778576628,-4.48213939620915,7.42684927769164e-06,1.76098303738739e-05,1.35300129125656
EIF2S3,0.0587048380534319,7.6654677870069,4.46648845382958,7.99068173125057e-06,1.89051401662152e-05,1.28305373771238
BLVRB,0.0586428273791746,7.75134184590161,4.36158865069238,1.2970396265258e-05,2.99861793440254e-05,0.820537674873751
BEX4,0.058638423142271,7.36349562536392,5.01548570805515,5.33080978449006e-07,1.39325044731256e-06,3.88258432692987
OSER1,0.0586115206470412,7.66010531801233,4.300612581977,1.71054768113106e-05,3.9193484430168e-05,0.556729676078151
TFDP2,0.0585848549597969,7.23518857800459,5.64598915036338,1.66243733689496e-08,4.87055723623144e-08,7.23852268389362
RHOC,-0.0585650515012575,7.53481451225385,-4.65033681674105,3.33304905064224e-06,8.16035409369661e-06,2.12012791981593
